Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
1079,2016-12-01 00:25:18,2016-12-01 00:43:18,3105,N 15 St & Wythe Ave,40.724055,-73.955736,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,26882,Subscriber,1983,1
483,2016-12-01 00:25:53,2016-12-01 00:33:57,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,477,W 41 St & 8 Ave,40.75640548,-73.9900262,21033,Subscriber,1971,1
656,2016-12-01 00:25:56,2016-12-01 00:36:52,3288,E 88 St & 1 Ave,40.778301,-73.9488134,3131,E 68 St & 3 Ave,40.76712840349542,-73.96224617958069,21405,Subscriber,1988,1
602,2016-12-01 00:26:11,2016-12-01 00:36:14,433,E 13 St & Avenue A,40.72955361,-73.98057249,502,Henry St & Grand St,40.714215,-73.981346,26014,Subscriber,1983,1
338,2016-12-01 00:26:14,2016-12-01 00:31:53,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,18053,Subscriber,1991,1
1011,2016-12-01 00:26:54,2016-12-01 00:43:45,251,Mott St & Prince St,40.72317958,-73.99480012,477,W 41 St & 8 Ave,40.75640548,-73.9900262,26847,Subscriber,1980,1
1309,2016-12-01 00:27:18,2016-12-01 00:49:08,352,W 56 St & 6 Ave,40.76340613,-73.97722479,3357,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,20642,Subscriber,1990,1
881,2016-12-01 00:28:11,2016-12-01 00:42:53,442,W 27 St & 7 Ave,40.746647,-73.993915,305,E 58 St & 3 Ave,40.76095756,-73.96724467,22269,Subscriber,1976,1
517,2016-12-01 00:29:26,2016-12-01 00:38:03,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,18788,Subscriber,1971,1
318,2016-12-01 00:30:00,2016-12-01 00:35:18,471,Grand St & Havemeyer St,40.71286844,-73.95698119,3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324,23100,Subscriber,1983,1
310,2016-12-01 00:31:01,2016-12-01 00:36:12,349,Rivington St & Ridge St,40.71850211,-73.98329859,295,Pike St & E Broadway,40.71406667,-73.99293911,25440,Subscriber,1981,1
445,2016-12-01 00:32:38,2016-12-01 00:40:03,3344,Pioneer St & Van Brunt St,40.679043,-74.011169,3398,Smith St & 9 St,40.6746957,-73.99785768,18360,Subscriber,1986,1
327,2016-12-01 00:32:50,2016-12-01 00:38:18,447,8 Ave & W 52 St,40.76370739,-73.9851615,3159,W 67 St & Broadway,40.77492513,-73.98266566,24052,Subscriber,1990,1
292,2016-12-01 00:32:58,2016-12-01 00:37:51,476,E 31 St & 3 Ave,40.74394314,-73.97966069,505,6 Ave & W 33 St,40.74901271,-73.98848395,19582,Subscriber,1969,1
168,2016-12-01 00:33:53,2016-12-01 00:36:42,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,3080,S 4 St & Rodney St,40.70934,-73.95608,17701,Subscriber,1988,1
640,2016-12-01 00:34:53,2016-12-01 00:45:34,212,W 16 St & The High Line,40.74334935,-74.00681753,545,E 23 St & 1 Ave,40.736502,-73.97809472,17289,Subscriber,1993,1
593,2016-12-01 00:35:01,2016-12-01 00:44:55,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,522,E 51 St & Lexington Ave,40.75714758,-73.97207836,23404,Subscriber,1954,1
523,2016-12-01 00:35:44,2016-12-01 00:44:28,474,5 Ave & E 29 St,40.7451677,-73.98683077,488,W 39 St & 9 Ave,40.75645824,-73.99372222,22975,Subscriber,1993,2
369,2016-12-01 00:35:53,2016-12-01 00:42:03,409,DeKalb Ave & Skillman St,40.6906495,-73.95643107,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,20153,Subscriber,1974,0
328,2016-12-01 00:36:14,2016-12-01 00:41:42,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,400,Pitt St & Stanton St,40.71926081,-73.98178024,23114,Subscriber,1987,1
302,2016-12-01 00:36:35,2016-12-01 00:41:37,466,W 25 St & 6 Ave,40.74395411,-73.99144871,494,W 26 St & 8 Ave,40.74734825,-73.99723551,26870,Subscriber,1966,1
105,2016-12-01 00:36:56,2016-12-01 00:38:41,224,Spruce St & Nassau St,40.71146364,-74.00552427,306,Cliff St & Fulton St,40.70823502,-74.00530063,22735,Subscriber,1996,1
3106,2016-12-01 00:37:00,2016-12-01 01:28:46,387,Centre St & Chambers St,40.71273266,-74.0046073,387,Centre St & Chambers St,40.71273266,-74.0046073,26482,Customer,,0
3152,2016-12-01 00:37:40,2016-12-01 01:30:12,387,Centre St & Chambers St,40.71273266,-74.0046073,387,Centre St & Chambers St,40.71273266,-74.0046073,21348,Customer,,0
1141,2016-12-01 00:37:46,2016-12-01 00:56:47,3096,Union Ave & N 12 St,40.71924,-73.95242,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,25716,Subscriber,1993,1
394,2016-12-01 00:37:51,2016-12-01 00:44:26,3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,361,Allen St & Hester St,40.71605866,-73.99190759,19354,Subscriber,1958,1
471,2016-12-01 00:38:07,2016-12-01 00:45:58,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,18324,Subscriber,1973,2
